EmployeeID,Gender,Age,BusinessTravel,Department,DistanceFromHomeKM,Education,EducationField,JobRole,Salary,OverTime,HireDate,Attrition,YearsAtCompany,YearsInMostRecentRole,YearsSinceLastPromotion,YearsWithCurrentManager,ReviewDate,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,TrainingOpportunitiesWithinYear,TrainingOpportunitiesTaken,WorkLifeBalance,SelfRating,ManagerRating
D906-B674,Female,42,No Travel ,Technology,45,3,Information Systems,Engineering Manager,259284,No,09-01-2012,No,10,2,6,6,17-07-2017,4,5,5,3,2,4,4,4
9E7A-1F70,Female,29,Some Travel,Sales,4,2,Marketing ,Sales Executive,129356,No,02-05-2012,Yes,5,1,1,2,08-01-2013,3,4,5,2,1,5,4,3
9E7A-1F70,Female,29,Some Travel,Sales,4,2,Marketing ,Sales Executive,129356,No,02-05-2012,Yes,5,1,1,2,07-01-2017,3,4,2,2,1,4,5,4
9E7A-1F70,Female,29,Some Travel,Sales,4,2,Marketing ,Sales Executive,129356,No,02-05-2012,Yes,5,1,1,2,08-01-2014,5,5,2,1,0,5,5,5
9E7A-1F70,Female,29,Some Travel,Sales,4,2,Marketing ,Sales Executive,129356,No,02-05-2012,Yes,5,1,1,2,07-01-2018,3,2,5,1,1,2,5,5
3C7D-86ED,Female,40,Some Travel,Sales,3,2,Other,Sales Executive,104426,No,11-01-2012,No,10,3,4,6,18-02-2017,5,2,2,2,3,5,5,4
3C7D-86ED,Female,40,Some Travel,Sales,3,2,Other,Sales Executive,104426,No,11-01-2012,No,10,3,4,6,18-02-2018,5,5,3,3,1,2,3,2
3C7D-86ED,Female,40,Some Travel,Sales,3,2,Other,Sales Executive,104426,No,11-01-2012,No,10,3,4,6,19-02-2014,5,2,4,1,3,3,3,2
05ED-92F1,Non-Binary,27,Frequent Traveller,Sales,41,3,Marketing,Sales Representative,28984,Yes,10-10-2016,Yes,3,1,1,0,10-01-2013,4,5,4,1,1,3,3,2
05ED-92F1,Non-Binary,27,Frequent Traveller,Sales,41,3,Marketing,Sales Representative,28984,Yes,10-10-2016,Yes,3,1,1,0,09-01-2017,4,5,3,1,1,3,4,3
05ED-92F1,Non-Binary,27,Frequent Traveller,Sales,41,3,Marketing,Sales Representative,28984,Yes,10-10-2016,Yes,3,1,1,0,10-01-2014,5,4,5,1,0,5,4,3
05ED-92F1,Non-Binary,27,Frequent Traveller,Sales,41,3,Marketing,Sales Representative,28984,Yes,10-10-2016,Yes,3,1,1,0,09-01-2018,5,4,3,3,0,5,4,3
3D71-8DC2,Male,38,Some Travel,Sales,20,4,Marketing ,Sales Executive,147098,No,11-01-2012,No,10,5,8,2,05-12-2016,4,2,3,2,0,4,5,5
3D71-8DC2,Male,38,Some Travel,Sales,20,4,Marketing ,Sales Executive,147098,No,11-01-2012,No,10,5,8,2,05-12-2017,3,2,3,3,1,5,3,2
F72D-261D,Male,28,Frequent Traveller,Technology,5,3,Information Systems,Data Scientist,76133,Yes,06-01-2014,Yes,1,0,1,0,10-01-2013,4,5,2,1,1,4,5,4
F72D-261D,Male,28,Frequent Traveller,Technology,5,3,Information Systems,Data Scientist,76133,Yes,06-01-2014,Yes,1,0,1,0,09-01-2017,3,2,5,3,1,5,5,5
F72D-261D,Male,28,Frequent Traveller,Technology,5,3,Information Systems,Data Scientist,76133,Yes,06-01-2014,Yes,1,0,1,0,10-01-2014,3,5,4,1,2,3,4,3
F72D-261D,Male,28,Frequent Traveller,Technology,5,3,Information Systems,Data Scientist,76133,Yes,06-01-2014,Yes,1,0,1,0,09-01-2018,3,5,4,2,1,4,3,2
5476-CA0D,Female,31,Frequent Traveller,Technology,4,2,Information Systems,Data Scientist,69747,No,12-01-2012,Yes,6,5,5,1,05-02-2017,3,4,2,2,0,3,3,2
5476-CA0D,Female,31,Frequent Traveller,Technology,4,2,Information Systems,Data Scientist,69747,No,12-01-2012,Yes,6,5,5,1,06-02-2014,3,5,3,2,1,5,3,2
5476-CA0D,Female,31,Frequent Traveller,Technology,4,2,Information Systems,Data Scientist,69747,No,12-01-2012,Yes,6,5,5,1,05-02-2018,4,3,5,2,0,5,4,3
774E-685D,Male,30,Some Travel,Sales,42,4,Marketing,Sales Executive,148862,Yes,03-11-2013,Yes,2,0,1,1,11-01-2013,5,4,3,2,3,4,5,4
774E-685D,Male,30,Some Travel,Sales,42,4,Marketing,Sales Executive,148862,Yes,03-11-2013,Yes,2,0,1,1,10-01-2017,3,4,3,1,0,5,4,4
774E-685D,Male,30,Some Travel,Sales,42,4,Marketing,Sales Executive,148862,Yes,03-11-2013,Yes,2,0,1,1,11-01-2014,3,5,5,3,1,3,5,5
774E-685D,Male,30,Some Travel,Sales,42,4,Marketing,Sales Executive,148862,Yes,03-11-2013,Yes,2,0,1,1,10-01-2018,4,5,4,2,0,2,4,3
73CF-4956,Female,32,Some Travel,Technology,42,4,Computer Science,Data Scientist,102022,No,12-01-2012,No,10,4,5,8,07-03-2017,3,4,4,2,1,2,3,3
73CF-4956,Female,32,Some Travel,Technology,42,4,Computer Science,Data Scientist,102022,No,12-01-2012,No,10,4,5,8,07-03-2018,4,5,4,3,1,2,5,5
B013-7D0C,Female,28,Some Travel,Technology,24,3,Information Systems,Data Scientist,46313,Yes,30-08-2013,Yes,1,1,1,0,10-04-2013,4,3,3,2,0,4,3,3
B013-7D0C,Female,28,Some Travel,Technology,24,3,Information Systems,Data Scientist,46313,Yes,30-08-2013,Yes,1,1,1,0,09-04-2016,3,5,3,2,0,2,5,5
B013-7D0C,Female,28,Some Travel,Technology,24,3,Information Systems,Data Scientist,46313,Yes,30-08-2013,Yes,1,1,1,0,09-04-2017,4,3,2,2,1,3,4,3
B013-7D0C,Female,28,Some Travel,Technology,24,3,Information Systems,Data Scientist,46313,Yes,30-08-2013,Yes,1,1,1,0,09-04-2018,5,5,5,1,0,4,4,4
277A-A6FA,Female,35,Some Travel,Technology,8,4,Information Systems,Machine Learning Engineer,272175,No,12-01-2012,No,10,7,8,2,03-10-2016,3,2,2,1,2,2,5,5
277A-A6FA,Female,35,Some Travel,Technology,8,4,Information Systems,Machine Learning Engineer,272175,No,12-01-2012,No,10,7,8,2,03-10-2017,3,4,3,1,0,3,3,3
528C-3E0D,Male,30,Some Travel,Technology,4,1,Information Systems,Data Scientist,42045,Yes,15-10-2013,Yes,6,0,3,3,16-03-2016,4,4,2,2,2,4,5,5
528C-3E0D,Male,30,Some Travel,Technology,4,1,Information Systems,Data Scientist,42045,Yes,15-10-2013,Yes,6,0,3,3,16-03-2017,3,2,2,3,2,4,3,3
528C-3E0D,Male,30,Some Travel,Technology,4,1,Information Systems,Data Scientist,42045,Yes,15-10-2013,Yes,6,0,3,3,16-03-2018,3,2,2,3,2,2,4,4
8BAB-B4A6,Male,38,Some Travel,Sales,35,3,Marketing ,Manager,340229,Yes,13-01-2012,No,10,7,9,3,17-01-2017,4,2,4,3,1,3,5,4
8BAB-B4A6,Male,38,Some Travel,Sales,35,3,Marketing ,Manager,340229,Yes,13-01-2012,No,10,7,9,3,18-01-2014,5,4,3,3,0,3,3,3
8BAB-B4A6,Male,38,Some Travel,Sales,35,3,Marketing ,Manager,340229,Yes,13-01-2012,No,10,7,9,3,17-01-2018,5,5,3,2,0,5,5,4
8BAB-B4A6,Male,38,Some Travel,Sales,35,3,Marketing ,Manager,340229,Yes,13-01-2012,No,10,7,9,3,18-01-2013,3,4,4,3,2,3,5,4
D077-169C,Male,46,Some Travel,Sales,20,2,Technical Degree,Sales Executive,150731,No,06-03-2012,No,10,8,9,3,17-03-2016,3,5,3,2,2,3,5,5
D077-169C,Male,46,Some Travel,Sales,20,2,Technical Degree,Sales Executive,150731,No,06-03-2012,No,10,8,9,3,17-03-2017,4,2,2,2,0,2,5,4
D077-169C,Male,46,Some Travel,Sales,20,2,Technical Degree,Sales Executive,150731,No,06-03-2012,No,10,8,9,3,17-03-2018,3,2,3,3,3,5,5,4
111D-E5EF,Non-Binary,37,Some Travel,Technology,3,3,Computer Science,Software Engineer,48395,No,15-01-2012,No,10,2,2,4,15-02-2017,4,5,5,1,2,4,5,4
111D-E5EF,Non-Binary,37,Some Travel,Technology,3,3,Computer Science,Software Engineer,48395,No,15-01-2012,No,10,2,2,4,15-02-2018,4,4,3,3,3,5,5,4
111D-E5EF,Non-Binary,37,Some Travel,Technology,3,3,Computer Science,Software Engineer,48395,No,15-01-2012,No,10,2,2,4,16-02-2014,5,4,3,2,0,3,3,3
9727-BC84,Male,31,Some Travel,Sales,15,3,Marketing,Sales Executive,187930,No,07-04-2012,Yes,3,2,2,0,18-03-2016,4,3,3,2,2,2,4,3
9727-BC84,Male,31,Some Travel,Sales,15,3,Marketing,Sales Executive,187930,No,07-04-2012,Yes,3,2,2,0,18-03-2017,4,2,1,1,1,3,5,4
9727-BC84,Male,31,Some Travel,Sales,15,3,Marketing,Sales Executive,187930,No,07-04-2012,Yes,3,2,2,0,18-03-2018,4,3,4,2,1,4,3,3
97F4-0B14,Male,33,Some Travel,Technology,4,4,Other,Senior Software Engineer,97126,No,15-01-2012,No,10,8,10,2,15-02-2017,3,3,3,3,0,3,5,4
97F4-0B14,Male,33,Some Travel,Technology,4,4,Other,Senior Software Engineer,97126,No,15-01-2012,No,10,8,10,2,15-02-2018,3,2,3,1,2,5,4,3
DA8E-9496,Male,27,Some Travel,Technology,22,2,Computer Science,Data Scientist,56449,Yes,04-10-2016,Yes,3,1,1,2,18-03-2016,3,5,4,1,0,5,5,5
DA8E-9496,Male,27,Some Travel,Technology,22,2,Computer Science,Data Scientist,56449,Yes,04-10-2016,Yes,3,1,1,2,18-03-2017,1,2,4,2,1,4,3,3
DA8E-9496,Male,27,Some Travel,Technology,22,2,Computer Science,Data Scientist,56449,Yes,04-10-2016,Yes,3,1,1,2,18-03-2018,4,3,5,1,0,3,4,3
5C03-1009,Female,42,Some Travel,Technology,21,3,Information Systems,Engineering Manager,316208,No,17-01-2012,No,10,8,8,7,13-04-2016,3,2,5,1,2,5,5,4
5C03-1009,Female,42,Some Travel,Technology,21,3,Information Systems,Engineering Manager,316208,No,17-01-2012,No,10,8,8,7,13-04-2017,3,5,5,3,1,5,3,3
5C03-1009,Female,42,Some Travel,Technology,21,3,Information Systems,Engineering Manager,316208,No,17-01-2012,No,10,8,8,7,13-04-2018,4,4,5,3,3,3,4,4
DEC5-9319,Male,23,Some Travel,Technology,5,3,Information Systems,Software Engineer,63709,No,14-04-2017,Yes,1,0,0,0,18-03-2016,3,4,3,2,3,2,4,4
DEC5-9319,Male,23,Some Travel,Technology,5,3,Information Systems,Software Engineer,63709,No,14-04-2017,Yes,1,0,0,0,18-03-2017,2,2,4,2,2,1,5,4
DEC5-9319,Male,23,Some Travel,Technology,5,3,Information Systems,Software Engineer,63709,No,14-04-2017,Yes,1,0,0,0,18-03-2018,3,3,5,1,1,5,3,2
BD1B-53A3,Male,43,Some Travel,Sales,27,3,Marketing,Sales Executive,128885,Yes,17-01-2012,No,10,1,10,2,23-05-2016,5,4,2,1,1,5,4,3
BD1B-53A3,Male,43,Some Travel,Sales,27,3,Marketing,Sales Executive,128885,Yes,17-01-2012,No,10,1,10,2,23-05-2017,4,3,2,1,0,4,4,3
88B8-EB84,Female,34,Some Travel,Technology,41,2,Information Systems,Engineering Manager,357371,No,24-03-2012,No,10,9,9,3,19-03-2016,3,4,2,3,1,4,5,5
88B8-EB84,Female,34,Some Travel,Technology,41,2,Information Systems,Engineering Manager,357371,No,24-03-2012,No,10,9,9,3,19-03-2017,5,3,4,1,0,2,5,4
88B8-EB84,Female,34,Some Travel,Technology,41,2,Information Systems,Engineering Manager,357371,No,24-03-2012,No,10,9,9,3,19-03-2018,4,2,5,2,1,5,4,4
DFA9-990E,Male,43,No Travel ,Sales,34,4,Marketing ,Sales Executive,108315,No,17-01-2012,No,10,9,10,10,05-12-2016,4,4,5,2,0,2,4,4
DFA9-990E,Male,43,No Travel ,Sales,34,4,Marketing ,Sales Executive,108315,No,17-01-2012,No,10,9,10,10,05-12-2017,4,2,4,2,1,4,5,4
9C57-828C,Male,31,Some Travel,Technology,39,3,Computer Science,Senior Software Engineer,242890,No,11-07-2013,No,9,3,3,9,19-03-2016,5,4,2,1,1,2,3,3
9C57-828C,Male,31,Some Travel,Technology,39,3,Computer Science,Senior Software Engineer,242890,No,11-07-2013,No,9,3,3,9,19-03-2017,4,4,5,1,1,5,4,4
9C57-828C,Male,31,Some Travel,Technology,39,3,Computer Science,Senior Software Engineer,242890,No,11-07-2013,No,9,3,3,9,19-03-2018,3,5,5,1,0,4,5,4
ED73-F078,Female,45,Frequent Traveller,Technology,19,1,Computer Science,Software Engineer,136521,No,18-01-2012,No,10,3,6,1,04-08-2016,4,4,3,3,3,5,3,3
ED73-F078,Female,45,Frequent Traveller,Technology,19,1,Computer Science,Software Engineer,136521,No,18-01-2012,No,10,3,6,1,04-08-2017,5,2,4,1,0,3,4,4
E1B4-9AA1,Female,46,Some Travel,Sales,36,3,Marketing ,Sales Executive,96188,Yes,26-04-2012,Yes,9,8,9,5,22-03-2016,5,4,3,3,2,3,4,3
E1B4-9AA1,Female,46,Some Travel,Sales,36,3,Marketing ,Sales Executive,96188,Yes,26-04-2012,Yes,9,8,9,5,22-03-2017,4,5,3,3,1,2,3,2
E1B4-9AA1,Female,46,Some Travel,Sales,36,3,Marketing ,Sales Executive,96188,Yes,26-04-2012,Yes,9,8,9,5,22-03-2018,5,3,4,1,0,2,5,4
C6EC-FEB5,Female,38,Some Travel,Sales,1,1,Economics,Sales Executive,151141,No,19-01-2012,No,10,3,6,9,07-12-2016,5,3,5,3,1,5,4,3
C6EC-FEB5,Female,38,Some Travel,Sales,1,1,Economics,Sales Executive,151141,No,19-01-2012,No,10,3,6,9,07-12-2017,5,2,5,3,0,4,4,3
3CD6-5587,Female,31,Some Travel,Technology,20,2,Computer Science,Software Engineer,59697,Yes,02-02-2012,Yes,7,5,6,0,23-03-2016,5,4,2,2,0,4,4,3
3CD6-5587,Female,31,Some Travel,Technology,20,2,Computer Science,Software Engineer,59697,Yes,02-02-2012,Yes,7,5,6,0,23-03-2017,4,3,5,2,3,2,5,4
3CD6-5587,Female,31,Some Travel,Technology,20,2,Computer Science,Software Engineer,59697,Yes,02-02-2012,Yes,7,5,6,0,23-03-2018,3,4,2,3,2,5,4,3
D7EE-56FC,Female,39,Frequent Traveller,Sales,17,2,Technical Degree,Sales Executive,107863,Yes,19-01-2012,Yes,8,8,8,5,02-02-2017,5,5,3,1,3,4,5,4
D7EE-56FC,Female,39,Frequent Traveller,Sales,17,2,Technical Degree,Sales Executive,107863,Yes,19-01-2012,Yes,8,8,8,5,03-02-2014,4,4,5,1,1,2,4,3
D7EE-56FC,Female,39,Frequent Traveller,Sales,17,2,Technical Degree,Sales Executive,107863,Yes,19-01-2012,Yes,8,8,8,5,02-02-2018,5,2,2,1,0,4,3,2
BAFA-86DF,Male,26,No Travel ,Technology,15,4,Business Studies,Software Engineer,35373,Yes,02-08-2017,Yes,4,3,3,0,23-03-2016,3,3,4,2,1,2,3,3
BAFA-86DF,Male,26,No Travel ,Technology,15,4,Business Studies,Software Engineer,35373,Yes,02-08-2017,Yes,4,3,3,0,23-03-2017,5,5,5,3,1,4,3,2
BAFA-86DF,Male,26,No Travel ,Technology,15,4,Business Studies,Software Engineer,35373,Yes,02-08-2017,Yes,4,3,3,0,23-03-2018,4,5,2,1,1,4,4,4
C395-8C36,Male,33,Some Travel,Human Resources,3,1,Technical Degree,Recruiter,53616,Yes,19-01-2012,No,10,2,3,7,17-11-2016,4,2,5,3,0,2,3,3
C395-8C36,Male,33,Some Travel,Human Resources,3,1,Technical Degree,Recruiter,53616,Yes,19-01-2012,No,10,2,3,7,17-11-2017,5,5,3,1,3,3,5,4
152E-8DB1,Female,31,Some Travel,Technology,14,1,Other,Software Engineer,63482,No,23-04-2012,Yes,1,0,1,1,12-04-2013,5,2,5,1,0,5,5,4
152E-8DB1,Female,31,Some Travel,Technology,14,1,Other,Software Engineer,63482,No,23-04-2012,Yes,1,0,1,1,11-04-2016,5,3,2,1,1,4,3,3
152E-8DB1,Female,31,Some Travel,Technology,14,1,Other,Software Engineer,63482,No,23-04-2012,Yes,1,0,1,1,11-04-2017,5,2,4,2,0,4,4,4
152E-8DB1,Female,31,Some Travel,Technology,14,1,Other,Software Engineer,63482,No,23-04-2012,Yes,1,0,1,1,11-04-2018,4,3,3,3,3,2,5,5
E348-E12B,Male,36,No Travel ,Technology,36,2,Information Systems,Software Engineer,61298,Yes,19-01-2012,No,10,3,9,3,22-02-2017,5,5,2,3,3,3,4,3
E348-E12B,Male,36,No Travel ,Technology,36,2,Information Systems,Software Engineer,61298,Yes,19-01-2012,No,10,3,9,3,22-02-2018,5,4,3,3,1,5,5,5
C6D7-A568,Female,42,No Travel ,Sales,10,2,Marketing ,Sales Representative,48922,No,07-05-2012,No,10,3,9,9,23-03-2016,4,2,3,3,0,2,4,4
C6D7-A568,Female,42,No Travel ,Sales,10,2,Marketing ,Sales Representative,48922,No,07-05-2012,No,10,3,9,9,23-03-2017,3,2,3,3,1,4,3,2
C6D7-A568,Female,42,No Travel ,Sales,10,2,Marketing ,Sales Representative,48922,No,07-05-2012,No,10,3,9,9,23-03-2018,5,2,2,1,1,2,4,3
B3AF-7E58,Female,45,Some Travel,Human Resources,34,2,Human Resources,Recruiter,54132,Yes,20-01-2012,No,10,10,10,10,01-06-2016,4,5,3,1,1,5,4,4
B3AF-7E58,Female,45,Some Travel,Human Resources,34,2,Human Resources,Recruiter,54132,Yes,20-01-2012,No,10,10,10,10,01-06-2017,3,5,5,3,0,3,3,2
5160-53BD,Non-Binary,29,Some Travel,Technology,24,3,Computer Science,Software Engineer,41307,No,19-08-2014,Yes,0,0,0,0,24-03-2016,4,2,5,1,2,2,5,5
5160-53BD,Non-Binary,29,Some Travel,Technology,24,3,Computer Science,Software Engineer,41307,No,19-08-2014,Yes,0,0,0,0,24-03-2017,5,5,2,3,0,5,5,5
5160-53BD,Non-Binary,29,Some Travel,Technology,24,3,Computer Science,Software Engineer,41307,No,19-08-2014,Yes,0,0,0,0,24-03-2018,4,4,3,1,3,5,5,5
469A-8121,Male,30,Some Travel,Technology,36,4,Information Systems,Engineering Manager,328415,No,20-01-2012,No,10,1,10,1,27-09-2016,4,2,4,1,0,4,3,2
469A-8121,Male,30,Some Travel,Technology,36,4,Information Systems,Engineering Manager,328415,No,20-01-2012,No,10,1,10,1,27-09-2017,5,2,4,2,0,4,4,4
81FF-8D6C,Female,24,Some Travel,Sales,13,3,Economics,Sales Representative,24095,No,28-04-2018,Yes,2,2,2,1,24-03-2016,3,4,3,2,0,4,5,4
81FF-8D6C,Female,24,Some Travel,Sales,13,3,Economics,Sales Representative,24095,No,28-04-2018,Yes,2,2,2,1,24-03-2017,3,3,4,2,0,4,4,3
81FF-8D6C,Female,24,Some Travel,Sales,13,3,Economics,Sales Representative,24095,No,28-04-2018,Yes,2,2,2,1,24-03-2018,4,4,5,3,0,4,4,3
9E22-6287,Non-Binary,48,Some Travel,Technology,37,3,Computer Science,Machine Learning Engineer,145337,No,21-01-2012,No,10,10,10,0,29-10-2016,3,4,2,1,0,3,3,3
9E22-6287,Non-Binary,48,Some Travel,Technology,37,3,Computer Science,Machine Learning Engineer,145337,No,21-01-2012,No,10,10,10,0,29-10-2017,4,5,5,2,1,5,4,4
84E7-02D4,Male,26,Some Travel,Technology,41,5,Business Studies,Machine Learning Engineer,161600,No,07-12-2017,Yes,5,0,2,0,25-03-2016,3,5,3,1,1,4,3,3
84E7-02D4,Male,26,Some Travel,Technology,41,5,Business Studies,Machine Learning Engineer,161600,No,07-12-2017,Yes,5,0,2,0,25-03-2017,3,5,2,3,1,4,3,2
84E7-02D4,Male,26,Some Travel,Technology,41,5,Business Studies,Machine Learning Engineer,161600,No,07-12-2017,Yes,5,0,2,0,25-03-2018,4,4,3,2,2,3,3,3
D5DA-363A,Male,33,Some Travel,Sales,41,2,Marketing,Sales Executive,71201,No,24-01-2012,No,10,8,10,4,06-01-2017,5,4,4,1,3,4,5,5
D5DA-363A,Male,33,Some Travel,Sales,41,2,Marketing,Sales Executive,71201,No,24-01-2012,No,10,8,10,4,06-01-2018,5,3,3,2,1,3,3,2
